"feature","mean","sd","min","max"
"caffeine",137.062628638636,149.152991589272,0,1720.5
"alpha_tocopherol",7.87093501911203,5.13278078732925,0.22,66.08
"total_fat",68.4056586298148,33.3857248605319,2.57,258.43
"poly_fat",16.4421637753602,9.07414180941837,0.859,70.0595
"income_poverty",2.50583063804763,1.58988574121904,0,5
"sbp",134.265804175243,20.3695253419068,72,238
"hdl",53.8453396059982,15.9554033686614,16,156
"tc",190.629520729197,42.7245596683976,75,525
"education",3.24992649220817,1.33742096870663,1,5
"computer_hours",4.25374889738312,3.52545427617485,0,8
"gender",1.51514260511614,0.499844139188737,1,2
"age",69.8024110555719,6.93357602814323,60,80
